id,topico,subtopico,dificuldade_fase3,nota,stem,correct_answer_index,gemma2:2b,phi4-mini:latest,llama3.2:3b,n_modelos_corretos,dificuldade_estimada
ffde36b030-f0-d0-r8-q5,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.92,"Um SCE de detecção de gás está abaixo do padrão de performance (PS) em uma área, mas a unidade precisa manter atividades essenciais com risco controlado. Qual arranjo de mitigação e governança é mais adequado?",1,True,True,True,3,Fácil
ffde36b030-f0-d0-r9-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.94,"Em um FMECA recente, foram identificados três modos: (1) falha da válvula de alívio do gás de alta (impacto em segurança), (2) degradação da medição fiscal (impacto em custo/conformidade) e (3) vibração em ventilador de acomodação (impacto operacional limitado). Para converter isso em plano de manutenção, qual abordagem melhor reflete a integração FMECA–RCM?",1,True,True,True,3,Fácil
ffde36b030-f0-d0-r9-q3,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.91,"Após um quase-incidente no blowdown que evidenciou falhas em barreiras preventivas e mitigadoras, qual ação alinha o programa de manutenção às lições aprendidas, integrando safety case, bow tie e PS de SCE?",1,True,True,True,3,Fácil
ffde36b030-f0-d0-r9-q4,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.89,Uma equipe considera empregar um sistema especialista de apoio à decisão de manutenção em um subsistema hidráulico crítico que opera em dois modos distintos. Como essa ferramenta deve ser utilizada para maximizar a aderência à filosofia RCM?,1,True,True,True,3,Fácil
ffde36b030-f0-d0-r10-q0,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.92,"Em um FPSO, a equipe revisa o plano de manutenção das bombas de água do mar e do sistema de ESD, com recursos limitados e múltiplos modos operacionais (produção plena, manutenção, alívio). Há históricos diferentes de falhas e alguns componentes são Elementos Críticos de Segurança (SCE) com Padrões de Performance (PS) definidos. Para maximizar segurança e disponibilidade, qual abordagem de alocação de tarefas é mais apropriada?",1,True,True,True,3,Fácil
ffde36b030-f0-d0-r10-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.92,"Durante teste funcional, uma bomba diesel do sistema de combate a incêndio (SCE) não atende ao PS de tempo de partida. A unidade precisa continuar operando enquanto a falha é tratada. Qual conduta está mais alinhada às boas práticas de integridade e governança técnica?",1,True,True,True,3,Fácil
ffde36b030-f0-d0-r10-q2,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.9,"Após um quase-evento de sobrepressurização, a direção busca fortalecer o acompanhamento de barreiras preventivas e mitigadoras e orientar prioridades de manutenção. Qual conjunto de práticas é mais alinhado a uma abordagem integrada de gestão de risco e integridade?",2,True,True,True,3,Fácil
ffde36b030-f0-d0-r10-q3,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.91,"Em uma análise de criticidade alinhada à RCM, dois ativos com taxas de falha semelhantes são avaliados: uma válvula de alívio de emergência classificada como SCE com PS definido e um trocador de utilidades sem impacto crítico em segurança. Como direcionar os recursos de manutenção?",0,False,True,False,1,Difícil
ffde36b030-f0-d0-r10-q5,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.92,"O monitoramento por condição mostra degradação em um atuador de válvula de isolamento classificado como SCE. O elemento ainda cumpre o PS, porém a tendência indica desvio provável antes da próxima janela preventiva. Qual decisão melhor alinha manutenção e gestão de risco?",3,True,True,True,3,Fácil
ffde36b030-f0-d0-r11-q0,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Fácil,0.96,"Em um FPSO, o gerente de manutenção precisa revisar o plano de bombas, válvulas e instrumentos com equipe reduzida. Como esses ativos têm criticidades distintas para a segurança e a produção, qual orientação melhor se alinha à Manutenção Centrada na Confiabilidade?",0,True,True,True,3,Fácil
ffde36b030-f0-d0-r11-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.92,"Uma equipe utiliza um sistema de apoio à decisão para recomendar intervenções em um sistema hidráulico de controle de uma unidade offshore. Ao mudar o arranjo do circuito e o regime de operação, o sistema passa a indicar ações distintas para o mesmo componente. Qual interpretação é mais adequada?",0,True,True,False,2,Média
ffde36b030-f0-d0-r11-q2,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Fácil,0.91,"Após revisar o plano de contingência de um FPSO, a equipe quer usar FMEA/FMECA para reordenar inspeções de válvulas, transmissores e atuadores associados a barreiras de processo. Qual uso é mais consistente com essa ferramenta?",3,True,True,True,3,Fácil
ffde36b030-f0-d0-r11-q3,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.95,"Durante a operação, uma bomba de um sistema de combate a incêndio classificado como SCE falha em atender ao Performance Standard em teste funcional. A produção permanece estável, e a operação pretende manter a unidade em funcionamento até a próxima janela de intervenção. Qual encaminhamento é mais compatível com a governança de integridade?",0,True,True,True,3,Fácil
ffde36b030-f0-d0-r11-q4,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.95,"Após a instalação de um bypass em uma linha de processo e um ajuste relevante na lógica de controle, a gerência quer incorporar a mudança ao plano de manutenção da unidade. Qual abordagem tende a ser mais robusta?",3,True,True,True,3,Fácil
ffde36b030-f0-d0-r11-q5,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Fácil,0.95,"Em uma campanha de redução de backlog em um FPSO, há pressão para priorizar serviços pelo menor tempo de execução. O engenheiro de integridade propõe primeiro classificar sistemas, equipamentos e elementos críticos. Qual critério de hierarquização tende a produzir um plano mais aderente à gestão de integridade?",3,True,False,True,2,Média
ffde36b030-f0-d0-r12-q0,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.95,"Em um FPSO, a equipe de manutenção precisa revisar o plano anual porque há restrição de recursos e crescimento de backlog. Alguns equipamentos têm impacto direto na segurança de processo, outros afetam sobretudo a disponibilidade de produção e outros têm baixa consequência operacional. Qual decisão traduz melhor uma filosofia de Manutenção Centrada na Confiabilidade para redistribuir as tarefas?",1,False,True,True,2,Média
ffde36b030-f0-d0-r12-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.93,"Após falhas recorrentes em um sistema de bombeamento auxiliar do FPSO, a gerência decide aplicar FMEA/FMECA para revisar o plano de manutenção e os procedimentos de contingência. Qual uso dessa ferramenta melhor atende esse objetivo?",0,True,True,True,3,Fácil
ffde36b030-f0-d0-r12-q2,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Difícil,0.87,"Em uma verificação operacional, um Safety Critical Element do arranjo de detecção e resposta a incêndio foi identificado abaixo do requisito de desempenho estabelecido. Existe possibilidade de seguir produzindo sob condicionantes, mas a origem da deficiência ainda não foi removida. Qual encaminhamento é mais aderente à governança de integridade?",0,True,True,True,3,Fácil
ffde36b030-f0-d0-r12-q3,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.93,"Após um quase-acidente envolvendo perda de contenção, a investigação mostrou que as barreiras estavam descritas no safety case, mas parte da equipe não conseguia relacioná-las com as rotinas de inspeção e manutenção. Qual ação tende a melhorar mais a ligação entre gestão de risco e plano de manutenção?",2,True,True,True,3,Fácil
ffde36b030-f0-d0-r12-q4,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.95,"Em uma revisão de criticidade de um FPSO, três grupos disputam a mesma janela de intervenção: (I) um elemento crítico de segurança cuja perda reduz uma barreira contra grande acidente, com pouco efeito imediato na produção; (II) um trem de processo cuja falha interrompe a produção, mas sem função primária de barreira; (III) um equipamento utilitário com baixo impacto em segurança e produção, porém alto custo de reparo. Se o objetivo é hierarquizar o plano considerando segurança, meio ambiente, produção e custo, qual critério é mais defensável?",3,True,False,True,2,Média
ffde36b030-f0-d0-r12-q5,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.94,"Ao testar um sistema especialista para recomendar intervenções de manutenção em um subsistema hidráulico do FPSO, um engenheiro verificou que regras genéricas por tipo de componente não distinguiam adequadamente diferentes arranjos de bombeamento, circuitos de atuação e regimes operacionais. À luz da RCM, qual conclusão é mais apropriada?",3,True,True,True,3,Fácil
ffde36b030-f0-d0-r13-q0,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.95,"Em um FPSO, a equipe de manutenção precisa revisar o plano de intervenções porque o mesmo intervalo fixo vem sendo aplicado tanto a um instrumento redundante de baixo impacto quanto a um componente cuja falha degrada uma barreira de segurança. Com recursos limitados, qual diretriz é mais consistente para redefinir a filosofia de manutenção?",0,True,True,True,3,Fácil
ffde36b030-f0-d0-r13-q2,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.94,"Após um quase incidente envolvendo perda de atuação de uma válvula em um sistema do FPSO, a equipe quer revisar o plano de manutenção e também fortalecer o plano de contingência. Qual uso de FMEA/FMECA agrega mais valor nesse contexto?",0,True,True,True,3,Fácil
ffde36b030-f0-d0-r13-q3,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.94,"Durante uma campanha no FPSO, um detector de gás classificado como elemento crítico de segurança falha no teste funcional e não atende ao Performance Standard definido. Há pressão para manter a operação até a próxima janela de manutenção, com rondas adicionais e monitoramento reforçado. Qual decisão está mais alinhada à governança de integridade?",3,True,True,True,3,Fácil
ffde36b030-f0-d0-r13-q4,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Fácil,0.91,"Na triagem de backlog de um FPSO, quatro pendências disputam recursos: degradação de uma válvula de deluge pertencente a uma barreira de segurança, desgaste em uma bomba de exportação com potencial de perda de produção, corrosão em uma linha de dreno oleoso com possibilidade de vazamento localizado e falha em um equipamento auxiliar de impacto predominantemente econômico. Em uma análise de criticidade para ordenar o tratamento, qual sequência é a mais coerente?",0,False,True,False,1,Difícil
ffde36b030-f0-d0-r13-q5,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Difícil,0.96,"Em um FPSO, foi instalado um bypass temporário e alterada a lógica de um controlador para manter a produção após repetidas intervenções em um sistema de processo. A equipe quer limitar a resposta à revisão do plano preventivo do equipamento afetado. Qual abordagem é mais adequada para preservar a integridade e a coerência do programa de manutenção?",3,True,True,True,3,Fácil
ffde36b030-f0-d0-r14-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Fácil,0.94,"Durante a revisão do plano anual de manutenção de um FPSO, a gerência identifica backlog elevado e equipes limitadas. Há equipamentos com impacto muito diferente sobre segurança e continuidade da produção. Qual critério traduz melhor a justificativa de adotar MCC/RCM na alocação das tarefas?",3,True,True,True,3,Fácil
ffde36b030-f0-d0-r14-q2,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.8,"Uma equipe pretende implantar em um FPSO um sistema de apoio à decisão para um subsistema hidráulico, de modo que a recomendação de manutenção mude conforme a configuração disponível e o modo de operação. Se a lógica adotada for alinhada à RCM, qual conjunto de informações tende a tornar a recomendação mais contextualizada?",1,True,True,True,3,Fácil
ffde36b030-f0-d0-r14-q3,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.93,"Após recorrência de falhas intermitentes em válvulas de controle e instrumentação associada, a equipe de integridade precisa revisar o plano de inspeção de um FPSO e também atualizar ações de contingência. Qual uso de FMEA/FMECA contribui mais para esse objetivo?",3,True,True,True,3,Fácil
ffde36b030-f0-d0-r14-q4,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Difícil,0.89,"Em um FPSO, um detector de gás classificado como elemento crítico de segurança deixa de atender temporariamente ao Performance Standard após teste funcional. A produção pode ser mantida, mas com exposição diferente em áreas adjacentes. Qual resposta de governança está mais alinhada à gestão de integridade descrita?",0,True,True,False,2,Média
ffde36b030-f0-d0-r14-q5,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.95,"A liderança de um FPSO quer reordenar o backlog de manutenção de barreiras e sistemas auxiliares usando informações de safety case e bow tie. Há itens com baixo custo de reparo, outros com maior perda potencial de produção e alguns ligados diretamente a barreiras de prevenção e mitigação. Qual regra de priorização é mais consistente com a integração entre manutenção, integridade e gestão de risco?",2,True,True,True,3,Fácil
ffde36b030-f0-d0-r15-q0,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Fácil,0.96,"Em um FPSO, revisa-se a política de manutenção de uma unidade hidráulica em que alguns itens são relevantes para barreiras de segurança, outros afetam a continuidade operacional e outros admitem operação até a falha com baixa consequência. A gerência busca um critério que atribua inspeções por condição, intervenções programadas e atuação após falha segundo a consequência funcional de cada componente. Qual filosofia atende melhor a essa necessidade?",1,True,True,True,3,Fácil
ffde36b030-f0-d0-r15-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.94,"Após uma sequência de falhas intermitentes em válvulas atuadas de um sistema de utilidades de um FPSO, a equipe percebe que as ordens de serviço tratam sintomas, mas não conectam modos de falha, efeitos operacionais e resposta de contingência. Qual uso de ferramenta tende a melhorar mais diretamente a qualidade do plano de manutenção?",0,True,True,True,3,Fácil
ffde36b030-f0-d0-r15-q2,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.89,"Em um teste funcional, um elemento crítico de segurança do sistema de combate a incêndio de um FPSO apresenta resultado abaixo do Performance Standard. Embora a unidade possa operar com restrições, a barreira mitigadora está degradada. Qual tratamento é mais aderente à governança de integridade?",2,True,True,True,3,Fácil
ffde36b030-f0-d0-r15-q4,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.89,"Uma equipe pretende digitalizar recomendações de manutenção para um sistema hidráulico crítico de um FPSO. Ela discute se o algoritmo deve emitir a mesma orientação para um componente independentemente da configuração da planta ou do modo operacional. Pela lógica de uma aplicação alinhada à RCM, qual desenho é mais adequado?",0,True,True,True,3,Fácil
ffde36b030-f0-d0-r15-q5,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.95,"No planejamento semanal de manutenção de um FPSO, surgem três pendências: (1) um damper de ventilação com perda de curso; (2) uma bomba de processo com vibração crescente, ainda dentro do limite operacional; (3) um elemento crítico de segurança com teste funcional reprovado em relação ao seu Performance Standard. A janela de recursos é limitada. Qual priorização está mais alinhada a uma abordagem RCM integrada à gestão de integridade?",3,True,True,True,3,Fácil
ffde36b030-f0-d0-r16-q0,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.95,"Na revisão do plano anual de manutenção de um FPSO, a equipe percebe que aplica a mesma periodicidade preventiva a bombas de utilidades, válvulas de shutdown e instrumentos de baixo impacto operacional. Como os recursos de parada são limitados, qual ajuste de filosofia é mais consistente com boa prática de manutenção?",3,True,True,True,3,Fácil
ffde36b030-f0-d0-r16-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.9,Uma equipe deseja implantar em um FPSO um sistema especialista para recomendar intervenções em um skid hidráulico que opera com diferentes arranjos de bombeamento e atuação conforme o modo da planta. Qual lógica de recomendação mais se alinha à aplicação prática de RCM?,1,True,True,True,3,Fácil
ffde36b030-f0-d0-r16-q2,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.95,"Após uma revisão de risco de processo, foram identificadas falhas recorrentes em atuadores de válvulas que participam de barreiras de mitigação. A engenharia quer usar FMEA/FMECA para revisar o plano de manutenção. Qual uso é mais adequado?",0,True,True,True,3,Fácil
